order_number,district,taluk,assigned_outlet_name,created_at,created_by,resolution_source
ORD-CRM-20260429231325-D64177C4,hassan,hassan,Salgame Outlet,2026-04-29 12:13:25,Likith ,pincode:573201
ORD-CRM-20260429230628-A2A8DA4D,hassan,hassan,Salgame Outlet,2026-04-29 12:06:28,Likith ,pincode:573201
ORD-20260429230409-C328CA3A,hassan,hassan,Salgame Outlet,2026-04-29 12:04:10,Super Administrator,pincode:573201
ORD-20260429225855-CC98D543,hassan,hassan,Salgame Outlet,2026-04-29 11:58:55,Super Administrator,pincode:573201
ORD-20260429225245-75B73B17,hassan,hassan,Salgame Outlet,2026-04-29 11:52:45,Super Administrator,pincode:573201
ORD-20260429224910-07856EAF,hassan,hassan,Salgame Outlet,2026-04-29 11:49:11,Super Administrator,pincode:573201
ORD-20260429224522-70B4E888,hassan,hassan,Salgame Outlet,2026-04-29 11:45:23,Super Administrator,pincode:573201
ORD-20260429220158-51697FE5,hassan,hassan,Salgame Outlet,2026-04-29 11:01:59,Super Administrator,pincode:573201
ORD-20260429214506-EBCBA835,hassan,hassan,Salgame Outlet,2026-04-29 10:45:06,Super Administrator,pincode:573201
ORD-20260429211249-D809541A,hassan,hassan,Salgame Outlet,2026-04-29 10:12:50,Super Administrator,pincode:573201
ORD-20260429201408-9C76B7CE,hassan,hassan,Salgame Outlet,2026-04-29 09:14:09,Super Administrator,pincode:573201
ORD-20260429200819-060B6D24,hassan,hassan,Salgame Outlet,2026-04-29 09:08:19,Super Administrator,pincode:573201
ORD-20260429194558-5BB789A5,hassan,hassan,Salgame Outlet,2026-04-29 08:45:58,Super Administrator,pincode:573201
